"","GEOID","peopleOfColor","peopleOfColor_pcntl","highSchool","highSchool_pcntl","percent_lowincome","percent_lowincome_pcntl","percent_lingiso","percent_lingiso_pcntl","percent_disability","percent_disability_pcntl","HH_Burdened_Pct","HH_Burdened_Pct_pcntl","socEco2","socEco_geoMean","socEco_arthMean","geoMeanDist","arthMean","arthMeanDist"
"49","08095",0.195695399259651,50,0.0979262672811055,62.5,0.339429928741093,64.0625,0.0509177027827117,84.7457627118644,0.124465558194774,48.4375,0.255180580224985,26.5625,56.0513771186441,52.8652666843769,56.0513771186441,0.734375,0.65625,0.65625
"50","08097",0.142253263086371,25,0.0256280537729985,9.375,0.161997086181777,7.8125,0.0245078344716754,59.3220338983051,0.0651724330669051,9.375,0.353019954466318,96.875,34.6265889830508,21.4956239917091,34.6265889830508,0.21875,0.265625,0.265625
"51","08099",0.401315577237429,82.8125,0.197434067263059,98.4375,0.395942128242445,79.6875,0.0591243862520458,96.6101694915254,0.168953615624211,71.875,0.27823240589198,40.625,78.3412782485876,75.3656515666863,78.3412782485876,0.90625,0.890625,0.890625
"52","08101",0.476703446919065,93.75,0.10973498265874,68.75,0.399802347127857,81.25,0.0127965917218646,37.2881355932203,0.194916244044875,84.375,0.330658954504462,87.5,75.4855225988701,72.4119055207679,75.4855225988701,0.84375,0.84375,0.84375
"53","08103",0.15829613095238,35.9375,0.0800602697150445,46.875,0.302190507799535,43.75,0.0126032159930465,35.5932203389831,0.120601407549584,43.75,0.205562798783138,9.375,35.8801200564972,32.0108571124462,35.8801200564972,0.375,0.3125,0.3125
"54","08105",0.500297145614107,95.3125,0.144381367311795,89.0625,0.408907246116548,82.8125,0.0522496371552975,89.8305084745763,0.202278435593828,87.5,0.264565623056189,31.25,79.294668079096,74.6226089084,79.294668079096,0.890625,0.921875,0.921875
"55","08107",0.0968789193867329,6.25,0.0338874554127876,17.1875,0.234938057382672,21.875,0.00822659585546183,25.4237288135593,0.0621616202125526,7.8125,0.303446839529314,62.5,23.5081214689266,17.5452009855511,23.5081214689266,0.171875,0.078125,0.078125
"56","08109",0.419700376628964,84.375,0.188440637075866,93.75,0.497105423522243,93.75,0.0548951048951049,93.2203389830508,0.156411818458727,64.0625,0.306643356643357,67.1875,82.7242231638418,81.7071188674535,82.7242231638418,0.984375,0.96875,0.96875
"57","08111",0.112054329371816,12.5,0.061855670103093,35.9375,0.276740237691002,37.5,0.0173010380622837,52.5423728813559,0.129032258064516,51.5625,0.256055363321799,28.125,36.3612288135593,32.9663516566491,36.3612288135593,0.40625,0.34375,0.34375
"58","08113",0.141494892954751,23.4375,0.0334233582620272,15.625,0.251744765702891,28.125,0.0357545045045045,69.4915254237288,0.0548985435080294,4.6875,0.371621621621622,98.4375,39.9673375706215,26.2911504603676,39.9673375706215,0.296875,0.359375,0.359375
"59","08115",0.155469422911283,31.25,0.130111524163568,81.25,0.381786339754816,76.5625,0.0134436401240951,38.9830508474576,0.181659388646288,78.125,0.231644260599793,17.1875,53.8930084745763,46.5508923510102,53.8930084745763,0.578125,0.59375,0.59375
"60","08117",0.155819910762393,34.375,0.0606899667771686,31.25,0.2206132879046,15.625,0.0457663753406635,79.6610169491525,0.0570512610814878,6.25,0.337186354665915,89.0625,42.7039194915254,30.1038644623058,42.7039194915254,0.328125,0.40625,0.40625
"61","08119",0.110639671523036,10.9375,0.0284865156904388,14.0625,0.222158178599366,17.1875,0.00214676034348166,3.38983050847458,0.138254150912379,54.6875,0.2903981264637,53.125,25.5649717514124,17.2157673480017,25.5649717514124,0.15625,0.125,0.125
"62","08121",0.122254189786839,15.625,0.0815621534638425,48.4375,0.329447987684187,53.125,0.00814566363200767,23.728813559322,0.111281489594743,35.9375,0.172496406324868,4.6875,30.2568855932203,23.3172668332351,30.2568855932203,0.25,0.1875,0.1875
"63","08123",0.337442061576039,73.4375,0.116816609180414,71.875,0.264996949318458,32.8125,0.0304382302643521,66.1016949152542,0.10319082542754,32.8125,0.28742440599593,46.875,53.9856991525424,51.0060129171233,53.9856991525424,0.671875,0.609375,0.609375
"64","08125",0.247489827661224,62.5,0.115700780251686,70.3125,0.388133498145859,78.125,0.0454319761668322,76.271186440678,0.115548347861342,42.1875,0.213008937437934,10.9375,56.7222810734463,47.9027917162277,56.7222810734463,0.609375,0.6875,0.6875
