"","GEOID","under5","under5_pcntl","over64","over64_pcntl","heartDisease","heartDisease_pcntl","asthma","asthma_pcntl","lifeExpectancy","lifeExpectancy_pcntl","lowBirthWeight","lowBirthWeight_pcntl","cancer","cancer_pcntl","mentalHealth","mentalHealth_pcntl","diabetes","diabetes_pcntl","senPop_geom","senPop_arth"
"55","08107",0.0434857411143384,35.9375,0.156294475703212,28.125,1.1,6.25,189.1475,15.625,81.7625,20.9677419354839,6.725,26.2295081967213,6.3125,26.5625,6.4625,15.625,12.775,34.375,20.9411991755907,23.2996944591339
"56","08109",0.0532224173803365,57.8125,0.221757616569316,71.875,5.3,82.8125,162.385,12.5,82.6,8.06451612903226,11.14,90.1639344262295,6.9,43.75,11.7,92.1875,14.5,82.8125,46.6416204698692,60.2198278394735
"57","08111",0.042444821731749,26.5625,0.247877758913412,82.8125,2.7,34.375,63.67,1.5625,NA,NA,16,98.3606557377049,7,45.3125,7.9,35.9375,12.9,39.0625,30.4506707864,45.4982069672131
"58","08113",0.0379418948214405,17.1875,0.135616492337561,17.1875,3.4,60.9375,102.01,4.6875,80.4,43.5483870967742,6.775,29.5081967213115,5.85,10.9375,6.1,12.5,11.95,15.625,18.3129003322807,23.5687870908984
"59","08115",0.103359173126614,96.875,0.231266149870801,75,8.2,95.3125,547.86,71.875,76.1,100,5.31,4.91803278688525,9.5,95.3125,11.4,87.5,14.1,70.3125,62.4051290594309,77.4561703096539
"60","08117",0.0405199692046476,21.875,0.121043748746606,7.8125,3.2,51.5625,156.164,10.9375,82.05,16.1290322580645,10.838,88.5245901639344,5.36,6.25,5.34,3.125,12.46,26.5625,16.0680203002328,25.8642913802221
"61","08119",0.0326952597644338,9.375,0.22397910842876,73.4375,3.1,48.4375,427.822,56.25,80.38,45.1612903225806,9.24333333333333,75.4098360655738,7.73333333333333,65.625,8.38333333333333,43.75,12.7,31.25,43.6324359769223,49.8551251542394
"62","08121",0.0512824711187345,53.125,0.202593531116395,64.0625,2.8,37.5,549.8,73.4375,80.15,46.7741935483871,8.48,68.8524590163934,8.7,89.0625,9.4,65.625,13.9,57.8125,60.0799135146637,61.8057391738645
"63","08123",0.0676572250920015,85.9375,0.123147276883375,9.375,3.3,54.6875,788.452987012987,93.75,79.2966666666667,64.5161290322581,6.26295774647887,16.3934426229508,6.14285714285714,14.0625,7.32597402597403,28.125,14.0428571428571,65.625,36.4434577873183,48.0524524061343
"64","08125",0.0725326512037555,92.1875,0.181980970844171,51.5625,5.4,84.375,355.645,43.75,79.65,59.6774193548387,6.3,18.0327868852459,7.95,70.3125,9,56.25,14.05,68.75,55.6686826846045,60.5441895822316
